country,country code,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Late-demographic dividend,LTE,197.980393696238,216.146790946472,239.902797015156,260.986311694756,293.111734308681,364.788612982648,421.444475877718,455.150895035184,488.735893710451,558.989784424611,574.078673852487,676.136971136225,755.882341863841,790.257127562518,796.517626060078,726.168539182739,753.979672933569,794.358475835611,832.284064700873,863.691476544904,936.684277105542,1045.9954064197,1096.50789131437,1191.09358893487,1099.22616824815,1127.10083446532,1277.18662690331,1551.7890859976,1684.97986359303,1746.35964772909,1666.17463728598,1526.16163806807,1664.65042870866,1708.19398658126,1797.27605387982,2035.98599768455,2431.36018310771,2914.21444440418,3494.88695292534,4374.49933296683,5404.9311818844,5191.87725617966,6194.90386194448,7501.2985227854,7965.66924645431,8526.59195740842,8811.36246917509,8200.77600116084,8144.64578047236,..
Latin America & Caribbean,LCN,530.744886974485,579.81572801288,614.554790734184,670.408910847421,735.179270178055,939.209545317167,1190.62854275242,1219.71575517779,1325.02029906177,1425.65809427797,1580.06949004696,1839.05486871211,2133.71982366105,2404.11552176453,2200.68338856156,1913.34176622685,1848.47549014783,1863.82586024472,1859.47696808118,1919.37073111999,2148.46549928295,2304.31993380637,2630.05640451353,3177.43671256715,2943.67619001645,3332.01440363879,3761.04750022715,3943.29735478242,4172.20868199282,4494.23668454146,4457.30967168686,3964.23210906787,4310.1393038193,4143.03609366073,3664.97953005045,3724.37245229657,4246.3851828404,5075.11610394524,5877.19158655365,6845.63406757811,7859.90431627219,7299.88611891085,8943.09810031095,10047.1764136386,10021.2316169844,10154.6712187147,10052.7741694733,8492.7335439718,8156.5907376669,..
Latin America & Caribbean (excluding high income),LAC,507.106223972483,551.335738461138,583.649029407216,632.445672320023,697.805941715334,887.985347197751,1152.14870338336,1211.63728128211,1311.65458091859,1400.87620151398,1550.68272128284,1791.71460561926,2063.45010590668,2325.5732720899,2139.51150047665,1863.43993251792,1793.76517869824,1814.57744017628,1807.49119459276,1854.18488633354,2079.97215283514,2230.1929856503,2556.9064092778,3113.91328537621,2843.68798250533,3237.79660826921,3660.45702325214,3807.7185638795,4031.72944314875,4341.90108220873,4297.31640328939,3790.54604655355,4141.57296283579,3970.63198634606,3484.28236646586,3530.36393097566,4018.52777363343,4823.39653405246,5591.82532744001,6556.26527061975,7580.8309033558,7024.05715498788,8641.60885258593,9719.75800404925,9665.19251798095,9776.49685057952,9708.14305642604,8148.63359309967,7803.42762355456,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,516.810378957931,564.010885852052,597.065280655554,649.180357922441,710.615473395284,914.663706357116,1169.93699730375,1194.44570273198,1299.7055648559,1400.61915347285,1546.41941000233,1804.85707438924,2104.33261582958,2379.78097482148,2165.13698386864,1863.40255642552,1786.6996287647,1803.33221776388,1792.1739334792,1847.48999640239,2074.34106118116,2231.93983619642,2560.01670431962,3132.41273887589,2892.47297711196,3287.77465703388,3710.78994562082,3888.74229713027,4130.71993513497,4453.2963514001,4402.27213196658,3882.09998053501,4225.9791225159,4037.6442947717,3538.16104969796,3589.91296993471,4114.14820161391,4949.77437458026,5749.53952668388,6729.16679076552,7761.29901172893,7181.89355929102,8861.67198620673,9983.45528317781,9948.46594696581,10075.953383764,9965.7002183083,8379.7782559445,8044.14928377828,..
Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,271.056152822758,287.374681422775,304.601881562269,303.852700770269,306.990775896719,307.678603585854,306.60982806938,262.479412544543,258.927660361539,235.145170532727,260.818250011013,280.709459270574,289.622517778789,284.001141263458,280.183233106782,309.963171685292,287.622543792364,302.668346991351,334.025892299166,374.152325543321,427.298381566379,488.041554922375,580.235976621942,704.806644916511,704.383286694909,777.387100620283,863.072041039146,894.798260188328,946.725803675866,1002.48533047617,971.115334071394,960.074271128757,..
Low & middle income,LMY,178.945112114083,195.337397898512,208.805062754487,220.024858130497,240.332995723734,297.102499272505,371.528522909959,402.453507712084,426.797820261974,470.889774228414,500.874831246239,583.638178975875,667.853295614306,703.981689934364,685.794361289815,659.749633798569,656.465405729776,677.942915906175,694.96657166898,700.346633556395,742.358568422335,773.504859342833,853.297043368777,893.442949177175,867.476510740832,908.624912824268,968.864713832781,1066.26105134113,1143.79027898629,1190.9913022966,1136.71406547548,1093.30839750541,1176.74652566138,1170.89589473795,1177.57426406906,1312.8964364469,1536.31538217745,1806.23558004145,2117.59921005346,2592.322324451,3073.48640415807,2962.93242728139,3574.0571559335,4169.5533912971,4375.09320084189,4583.84498801671,4681.73663824717,4386.28870062568,4334.0076437743,..
Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,319.598925528521,300.449230324498,306.654337407185,279.150995754789,250.246874396312,253.042901433516,279.976165448146,284.701563321454,299.2586000837,288.228082256713,298.320688596287,296.20905377449,254.488833449444,246.377011346778,202.028800719883,226.579003182553,245.793197047908,247.359090709476,243.483591915714,237.291628961462,266.589132811835,234.201730006275,246.027643317811,262.777785383472,291.323281976616,327.320607606225,353.355295825502,410.026325666245,480.661575105525,497.548459175996,517.802810161635,568.610291300528,595.535808968946,624.75194053718,656.166241289862,625.61738573602,615.072801668344,..
Lower middle income,LMC,124.094972049567,135.317281877709,145.407258443846,147.808169139937,153.40259983107,178.576576318377,224.052503154486,242.935679118224,257.24789169371,287.73092178727,314.49186158418,349.61411943723,424.034928883773,437.216875633,430.755803359007,410.872158057525,399.644029244016,410.686658439897,418.164220846133,449.124806283008,457.474914735865,453.865083752023,474.728121378904,447.185313239598,456.59375139759,452.770533816297,482.180894090592,531.263379748275,572.389078166271,580.306285582096,515.321320544216,549.042150099976,570.97954298097,566.423816086072,597.998310354039,673.935903651109,757.860726833225,858.462676194492,1004.22486189889,1216.54834878092,1346.66490348086,1358.29199981556,1690.43887163573,1882.93822664676,1944.64815498672,1998.7366169496,2072.76383050657,2031.8664436423,2075.14174998628,..
Middle East & North Africa,MEA,247.36506175563,268.517131087532,291.487924178665,327.649185904546,388.085289667066,509.003658934619,904.992785133625,961.883938472802,1162.22538188981,1310.3395808135,1351.1447965584,1711.90611012809,2150.38438480463,2151.38511202328,2069.08189295037,2031.81336347979,1994.30634554494,1958.53861328168,1938.32715660848,1740.17809987988,1676.13125292395,1680.86420045575,2127.54654793876,2076.75745571082,2222.21637999507,2186.03213716648,2226.57156353265,2468.99064008354,2738.61028083999,2784.71946392325,2653.54456349373,2787.29672840853,3049.61808485046,3003.45333057834,2936.28103201754,3245.76101341095,3697.42557611841,4366.55049354428,5006.13432593409,5800.93976029325,7094.53170989605,6189.33692669981,7075.59487689961,8299.19513081544,8689.3344043335,8642.9476770136,8436.96531397115,7350.73434312315,7124.68857338475,..
Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1193.13250370129,1197.75957846406,1337.70387749863,1519.73275927977,1529.93284970293,1522.97429426631,1580.49797237335,1607.89024533173,1634.32663639603,1559.05173299469,1728.64504052621,1945.85419754966,2255.17912324877,2573.93956891314,3115.50762603257,3788.40380210453,3580.65315884562,4061.41367121286,4614.81053113315,4790.86217322637,4615.98223724128,4373.82806298725,3933.95010540058,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1192.70917137462,1197.60029695991,1337.66477883376,1521.70441833999,1531.25317929457,1523.37971608981,1581.14877799609,1609.10512591549,1637.43298717506,1563.37865190195,1733.75479991474,1952.55344239692,2264.04849069142,2586.56924827101,3132.7979731193,3810.35474992513,3599.12418829039,4081.23402518264,4637.48758062864,4814.39666657114,4634.99103382217,4390.41020315674,3946.37661801481,..,..
Middle income,MIC,184.966607276799,201.916429466132,216.238606576452,227.721552431239,248.876712733703,308.364457808049,386.692619816384,418.486328212082,445.193239839938,490.979371996622,521.398644813981,609.349704887366,699.62249811403,740.011193571009,720.015356064624,693.913463914061,692.57043213324,715.793846784698,732.497115769012,738.182024359873,782.896232269936,817.860474117497,903.932728828223,948.126616348248,923.599822993409,969.617812428454,1039.21671187313,1144.29692641537,1228.11727292106,1280.1997405689,1222.82345453055,1176.60133710319,1265.8780909358,1263.6406015337,1272.00816941189,1421.64424854542,1666.98259777451,1962.66048870966,2305.75755905863,2827.70065890979,3356.95641614569,3235.70116918487,3913.22048998279,4573.46908322996,4803.85863976391,5039.63573820819,5152.03429113075,4831.53238077838,4781.42037667553,..
North America,NAC,4575.14811014624,4906.85250757158,5140.49045945309,5525.14296494705,6017.69495215425,6657.81444441508,7222.98274916729,7787.74857269067,8627.8781935299,9414.66352737226,10441.6087730549,11531.2592063599,12454.5951188154,13827.1183286799,14242.8086069184,15347.1415253208,16809.365087602,17855.7072356895,18651.9189708137,19720.6856895874,21224.3456904584,22694.9680473978,23696.3712717686,24131.30752105,25021.2625580602,25822.0803876124,26988.8344390296,27968.7292095918,29189.8461901225,30604.9865877247,31761.2416063396,33397.9809096259,35242.0641955061,35942.4362729718,36794.8536066037,38550.0798996021,40948.2341842791,43514.0819225872,45849.0408211219,47723.7274691787,48232.3100078821,46394.3848463695,48289.700299921,50024.8202953851,51560.704640076,52755.7792523288,54187.4940946153,54918.0832793418,55927.8558946185,..
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,2275.02296357186,2467.25067648745,2677.28917382244,2930.20234901548,3360.85198914667,4017.51519391344,4452.47402034102,4934.85928399115,5299.78621105558,5921.22152936249,7045.39810333768,8064.29664323517,8871.43148329922,8952.93095634346,8743.96106562489,8963.92056051348,9306.07237248158,9744.67714758207,11722.0340069981,13465.8150524003,15077.5433939077,15670.0269143547,17507.4499089016,18352.91060765,19553.8047196078,19674.8448786916,20839.3239066464,22776.5772653399,22802.3133203128,22287.0577096653,22355.6877958316,23329.9405089014,23659.6350172166,23275.0748490389,24115.4300502776,26830.1260821828,29656.7636845698,31126.9114979572,32576.8849068288,35346.1882154397,37121.2636455746,34481.8708767423,35889.1198878877,38363.453569749,38044.6484170295,38252.2773169878,38738.8289594862,36280.5409148527,36741.3610815405,..
Other small states,OSS,..,..,280.891462353157,326.66484302917,387.467800216381,549.739345751163,992.411585100296,1085.24288159709,1322.54851064245,1460.56912754518,1579.94976021014,2008.99999928057,2728.28021698677,2680.73531421539,2475.32303037306,2281.43377506308,2241.58836018517,2075.90393061539,2046.19493169391,2365.27184994953,2589.82908484046,2645.78900645988,3094.18386598726,3118.35380243275,3337.88899849419,3120.1870384501,3212.70997567982,3618.69765768114,3755.99383408401,3847.83456515856,3704.79277233786,3913.02687773413,4355.71891478074,4251.12345732235,4500.521095917,5469.79462572666,6640.15467049122,7878.10934226292,9035.9577831523,10775.7620428651,12831.721489587,10740.198425656,12186.3073406137,14720.7919923366,15017.6762939557,15316.0351113239,15452.4222948547,12555.7477821709,11965.5609054918,..
Pacific island small states,PSS,..,..,..,..,..,..,..,874.326372934186,859.032758539717,878.313512540516,998.037051348984,1197.3506575764,1340.86421969031,1351.19819085636,1289.11216509757,1206.31801090701,1294.65726301927,1203.02790768575,1285.8290527328,1246.71588036804,1290.77200867673,1331.39026768606,1414.36821545785,1480.81300789297,1596.08207866337,1653.28586279285,1872.93115936043,1991.51426610317,2107.56184352595,2077.15542164717,1763.42189993122,1897.74182688568,1755.74040895765,1699.98020527579,1767.86665583237,2051.46672019781,2344.20748683596,2544.06797433491,2641.3313692958,2859.23955186707,3040.74078880753,2643.5640117456,2891.65750548596,3383.34467432693,3570.31907461386,3641.37447618691,3769.46508803847,3635.98591619899,3720.73663143055,..
Post-demographic dividend,PST,2353.77879595793,2555.85225567356,2783.97616593065,3057.17754359562,3512.74279474876,4204.81307387503,4652.13321020692,5168.35776145555,5570.6486748368,6254.06197152426,7462.88528612389,8519.47709524055,9371.10906137124,9416.79614235539,9315.21492671642,9610.99950434287,9995.11553956037,10487.5740638372,12735.8795329318,14670.5773473607,16429.3946933757,17072.7125452016,19047.6267128866,19951.3213777378,21261.2103337905,21291.6036578962,22655.714784987,24966.5525521288,24966.2280798627,24368.8362763027,24354.606332523,25443.9040913959,25752.4000528938,25390.1767008407,26348.9271341157,29412.7290178341,32514.1732942591,34047.3558676232,35617.4354480769,38627.8670602844,40561.4996209299,37991.2056419187,39432.9902341618,42211.5631890141,41960.1578936842,42131.000679007,42728.4281128251,40163.0508420953,40873.1947336663,..
